-0.011268,-0.011754,-0.012257,-0.012778,-0.013316,-0.013871,-0.014443,-0.015029,-0.015630,-0.016243,-0.016866,-0.017498,-0.018137,-0.018779,-0.019421,-0.020060,-0.020692,-0.021314,-0.021920,-0.022508,-0.023071,-0.023606,-0.024107,-0.024570,-0.024991,-0.025365,-0.025689,-0.025959,-0.026173,-0.026327,-0.026420,-0.026451,-0.026420,-0.026327,-0.026173,-0.025959,-0.025689,-0.025365,-0.024991,-0.024570,-0.024107,-0.023606,-0.023071,-0.022508,-0.021920,-0.021314,-0.020692,-0.020060,-0.019421,-0.018779,-0.018137,-0.017498,-0.016866,-0.016243,-0.015630,-0.015029,-0.014443,-0.013871,-0.013316,-0.012778,-0.012257,-0.011754,-0.011268,-0.010801
-0.011770,-0.012292,-0.012835,-0.013398,-0.013981,-0.014583,-0.015205,-0.015844,-0.016500,-0.017171,-0.017855,-0.018550,-0.019254,-0.019963,-0.020674,-0.021383,-0.022086,-0.022778,-0.023455,-0.024112,-0.024743,-0.025342,-0.025906,-0.026427,-0.026901,-0.027323,-0.027689,-0.027994,-0.028235,-0.028410,-0.028515,-0.028550,-0.028515,-0.028410,-0.028235,-0.027994,-0.027689,-0.027323,-0.026901,-0.026427,-0.025906,-0.025342,-0.024743,-0.024112,-0.023455,-0.022778,-0.022086,-0.021383,-0.020674,-0.019963,-0.019254,-0.018550,-0.017855,-0.017171,-0.016500,-0.015844,-0.015205,-0.014583,-0.013981,-0.013398,-0.012835,-0.012292,-0.011770,-0.011268
-0.012292,-0.012854,-0.013439,-0.014047,-0.014678,-0.015332,-0.016008,-0.016704,-0.017421,-0.018156,-0.018907,-0.019672,-0.020448,-0.021231,-0.022019,-0.022806,-0.023588,-0.024360,-0.025116,-0.025851,-0.026558,-0.027232,-0.027866,-0.028453,-0.028988,-0.029465,-0.029878,-0.030223,-0.030496,-0.030694,-0.030813,-0.030853,-0.030813,-0.030694,-0.030496,-0.030223,-0.029878,-0.029465,-0.028988,-0.028453,-0.027866,-0.027232,-0.026558,-0.025851,-0.025116,-0.024360,-0.023588,-0.022806,-0.022019,-0.021231,-0.020448,-0.019672,-0.018907,-0.018156,-0.017421,-0.016704,-0.016008,-0.015332,-0.014678,-0.014047,-0.013439,-0.012854,-0.012292,-0.011754
-0.012835,-0.013439,-0.014069,-0.014726,-0.015409,-0.016118,-0.016853,-0.017613,-0.018396,-0.019201,-0.020025,-0.020867,-0.021723,-0.022589,-0.023462,-0.024336,-0.025207,-0.026068,-0.026913,-0.027737,-0.028530,-0.029288,-0.030001,-0.030664,-0.031268,-0.031807,-0.032275,-0.032666,-0.032975,-0.033199,-0.033334,-0.033380,-0.033334,-0.033199,-0.032975,-0.032666,-0.032275,-0.031807,-0.031268,-0.030664,-0.030001,-0.029288,-0.028530,-0.027737,-0.026913,-0.026068,-0.025207,-0.024336,-0.023462,-0.022589,-0.021723,-0.020867,-0.020025,-0.019201,-0.018396,-0.017613,-0.016853,-0.016118,-0.015409,-0.014726,-0.014069,-0.013439,-0.012835,-0.012257
-0.013398,-0.014047,-0.014726,-0.015435,-0.016174,-0.016943,-0.017742,-0.018570,-0.019426,-0.020307,-0.021212,-0.022139,-0.023083,-0.024041,-0.025009,-0.025980,-0.026950,-0.027911,-0.028857,-0.029780,-0.030671,-0.031523,-0.032327,-0.033075,-0.033758,-0.034368,-0.034898,-0.035341,-0.035692,-0.035946,-0.036100,-0.036151,-0.036100,-0.035946,-0.035692,-0.035341,-0.034898,-0.034368,-0.033758,-0.033075,-0.032327,-0.031523,-0.030671,-0.029780,-0.028857,-0.027911,-0.026950,-0.025980,-0.025009,-0.024041,-0.023083,-0.022139,-0.021212,-0.020307,-0.019426,-0.018570,-0.017742,-0.016943,-0.016174,-0.015435,-0.014726,-0.014047,-0.013398,-0.012778
-0.013981,-0.014678,-0.015409,-0.016174,-0.016974,-0.017808,-0.018676,-0.019578,-0.020513,-0.021478,-0.022472,-0.023491,-0.024533,-0.025593,-0.026666,-0.027746,-0.028826,-0.029900,-0.030958,-0.031993,-0.032994,-0.033953,-0.034860,-0.035704,-0.036476,-0.037166,-0.037767,-0.038270,-0.038668,-0.038957,-0.039131,-0.039190,-0.039131,-0.038957,-0.038668,-0.038270,-0.037767,-0.037166,-0.036476,-0.035704,-0.034860,-0.033953,-0.032994,-0.031993,-0.030958,-0.029900,-0.028826,-0.027746,-0.026666,-0.025593,-0.024533,-0.023491,-0.022472,-0.021478,-0.020513,-0.019578,-0.018676,-0.017808,-0.016974,-0.016174,-0.015409,-0.014678,-0.013981,-0.013316
-0.014583,-0.015332,-0.016118,-0.016943,-0.017808,-0.018712,-0.019655,-0.020638,-0.021658,-0.022715,-0.023805,-0.024927,-0.026077,-0.027249,-0.028439,-0.029639,-0.030843,-0.032041,-0.033226,-0.034386,-0.035512,-0.036591,-0.037613,-0.038566,-0.039439,-0.040221,-0.040902,-0.041472,-0.041924,-0.042252,-0.042450,-0.042516,-0.042450,-0.042252,-0.041924,-0.041472,-0.040902,-0.040221,-0.039439,-0.038566,-0.037613,-0.036591,-0.035512,-0.034386,-0.033226,-0.032041,-0.030843,-0.029639,-0.028439,-0.027249,-0.026077,-0.024927,-0.023805,-0.022715,-0.021658,-0.020638,-0.019655,-0.018712,-0.017808,-0.016943,-0.016118,-0.015332,-0.014583,-0.013871
-0.015205,-0.016008,-0.016853,-0.017742,-0.018676,-0.019655,-0.020680,-0.021749,-0.022862,-0.024019,-0.025215,-0.026450,-0.027717,-0.029014,-0.030332,-0.031666,-0.033007,-0.034345,-0.035671,-0.036972,-0.038236,-0.039451,-0.040602,-0.041678,-0.042664,-0.043549,-0.044319,-0.044966,-0.045478,-0.045850,-0.046075,-0.046151,-0.046075,-0.045850,-0.045478,-0.044966,-0.044319,-0.043549,-0.042664,-0.041678,-0.040602,-0.039451,-0.038236,-0.036972,-0.035671,-0.034345,-0.033007,-0.031666,-0.030332,-0.029014,-0.027717,-0.026450,-0.025215,-0.024019,-0.022862,-0.021749,-0.020680,-0.019655,-0.018676,-0.017742,-0.016853,-0.016008,-0.015205,-0.014443
-0.015844,-0.016704,-0.017613,-0.018570,-0.019578,-0.020638,-0.021749,-0.022912,-0.024126,-0.025391,-0.026703,-0.028060,-0.029457,-0.030890,-0.032351,-0.033832,-0.035325,-0.036818,-0.038300,-0.039758,-0.041177,-0.042542,-0.043839,-0.045052,-0.046165,-0.047164,-0.048035,-0.048766,-0.049346,-0.049767,-0.050022,-0.050108,-0.050022,-0.049767,-0.049346,-0.048766,-0.048035,-0.047164,-0.046165,-0.045052,-0.043839,-0.042542,-0.041177,-0.039758,-0.038300,-0.036818,-0.035325,-0.033832,-0.032351,-0.030890,-0.029457,-0.028060,-0.026703,-0.025391,-0.024126,-0.022912,-0.021749,-0.020638,-0.019578,-0.018570,-0.017613,-0.016704,-0.015844,-0.015029
-0.016500,-0.017421,-0.018396,-0.019426,-0.020513,-0.021658,-0.022862,-0.024126,-0.025450,-0.026831,-0.028269,-0.029759,-0.031298,-0.032880,-0.034497,-0.036142,-0.037802,-0.039466,-0.041122,-0.042752,-0.044342,-0.045875,-0.047332,-0.048696,-0.049949,-0.051074,-0.052057,-0.052881,-0.053536,-0.054011,-0.054299,-0.054395,-0.054299,-0.054011,-0.053536,-0.052881,-0.052057,-0.051074,-0.049949,-0.048696,-0.047332,-0.045875,-0.044342,-0.042752,-0.041122,-0.039466,-0.037802,-0.036142,-0.034497,-0.032880,-0.031298,-0.029759,-0.028269,-0.026831,-0.025450,-0.024126,-0.022862,-0.021658,-0.020513,-0.019426,-0.018396,-0.017421,-0.016500,-0.015630
