    64     64
 -700.00  -625.00    8.3097
 -700.00  -600.00    8.6272
 -700.00  -575.00    8.9008
 -700.00  -550.00    9.1128
 -700.00  -525.00    9.2440
 -700.00  -500.00    9.2744
 -700.00  -475.00    9.1858
 -700.00  -450.00    8.9636
 -700.00  -425.00    8.5998
 -700.00  -400.00    8.0948
 -700.00  -375.00    7.4585
 -700.00  -350.00    6.7103
 -700.00  -325.00    5.8774
 -700.00  -300.00    4.9913
 -700.00  -275.00    4.0843
 -700.00  -250.00    3.1857
 -700.00  -225.00    2.3178
 -700.00  -200.00    1.4939
 -700.00  -175.00    0.7177
 -700.00  -150.00   -0.0162
 -700.00  -125.00   -0.7203
 -700.00  -100.00   -1.4106
 -700.00   -75.00   -2.1037
 -700.00   -50.00   -2.8140
 -700.00   -25.00   -3.5514
 -700.00     0.00   -4.3208
 -700.00    25.00   -5.1214
 -700.00    50.00   -5.9475
 -700.00    75.00   -6.7891
 -700.00   100.00   -7.6333
 -700.00   125.00   -8.4652
 -700.00   150.00   -9.2690
 -700.00   175.00  -10.0292
 -700.00   200.00  -10.7309
 -700.00   225.00  -11.3614
 -700.00   250.00  -11.9097
 -700.00   275.00  -12.3678
 -700.00   300.00  -12.7302
 -700.00   325.00  -12.9943
 -700.00   350.00  -13.1605
 -700.00   375.00  -13.2314
 -700.00   400.00  -13.2121
 -700.00   425.00  -13.1094
 -700.00   450.00  -12.9313
 -700.00   475.00  -12.6870
 -700.00   500.00  -12.3859
 -700.00   525.00  -12.0375
 -700.00   550.00  -11.6514
 -700.00   575.00  -11.2361
 -700.00   600.00  -10.7999
 -700.00   625.00  -10.3500
 -700.00   650.00   -9.8929
 -700.00   675.00   -9.4342
 -700.00   700.00   -8.9784
 -700.00   725.00   -8.5295
 -700.00   750.00   -8.0905
 -700.00   775.00   -7.6639
 -700.00   800.00   -7.2515
 -675.00  -775.00    6.6645
 -675.00  -750.00    7.0801
 -675.00  -725.00    7.5151
 -675.00  -700.00    7.9662
 -675.00  -675.00    8.4282
 -675.00  -650.00    8.8931
 -675.00  -625.00    9.3500
 -675.00  -600.00    9.7845
 -675.00  -575.00   10.1776
 -675.00  -550.00   10.5068
 -675.00  -525.00   10.7456
 -675.00  -500.00   10.8657
 -675.00  -475.00   10.8394
 -675.00  -450.00   10.6434
 -675.00  -425.00   10.2627
 -675.00  -400.00    9.6943
 -675.00  -375.00    8.9498
 -675.00  -350.00    8.0556
 -675.00  -325.00    7.0501
 -675.00  -300.00    5.9791
 -675.00  -275.00    4.8903
 -675.00  -250.00    3.8263
